id,first_name,middle_name,last_name,last_name2,gender,salutation,language,status,organization,position,mobile1,mobile2,mobile3,mobile4,email,email_confirmed,contact_first_name,contact_middle_name,contact_last_name,contact_last_name2,contact_gender,contact_language,contact_position,contact_mobile1,contact_mobile2,contact_mobile3,contact_mobile4,contact_email,contact_email_confirmed,qr_code,qr_created,badge_created,badge_created_at,created_at,updated_at,active,allowed,notified_email,notified_email_at,notified_whatsapp,notified_whatsapp_at,notified_telegram,notified_telegram_at,notified_max,notified_max_at,passed,passed_at,gate_number,notes,title,photo_path
11,Майкл,,Джексон,,мужской,,английский,,,певец,+7-973-134-43-43,,,,дzhексонм@example.com,0,Michael,,Jackson,,мужской,английский,певец,+7-959-470-28-48,,,,дzhексонм@example.com,0,,,0,,,,1,1,0,,0,,0,,0,,0,,,Thriller,,11_Джексон_Майкл_.jpg
12,Фредди,,Меркьюри,,мужской,,английский,,,певец,+7-970-927-27-56,,,,меркyuриф@example.com,0,Freddie,,Mercury,,мужской,английский,певец,+7-914-657-51-52,,,,меркyuриф@example.com,0,,,0,,,,1,1,0,,0,,0,,0,,0,,,Bohemian Rhapsody,,12_Меркьюри_Фредди_.jpg
13,Элвис,,Пресли,,мужской,,английский,,,певец,+7-948-149-22-49,,,,преслиэ@example.com,0,Elvis,,Presley,,мужской,английский,певец,+7-991-769-96-44,,,,преслиэ@example.com,0,,,0,,,,1,1,0,,0,,0,,0,,0,,,Jailhouse Rock,,13_Пресли_Элвис_.jpg
14,Виктор,,Цой,,мужской,,русский,,,певец,+7-974-121-96-52,,,,tsоyв@example.com,0,Viktor,,Tsoi,,мужской,русский,певец,+7-964-859-41-55,,,,tsоyв@example.com,0,,,0,,,,1,1,0,,0,,0,,0,,0,,,Группа крови,,14_Цой_Виктор_.jpg
15,Алла,,Пугачёва,,женский,,русский,,,певица,+7-977-264-68-95,,,,пугаcheваа@example.com,0,Alla,,Pugacheva,,женский,русский,певица,+7-956-809-49-25,,,,пугаcheваа@example.com,0,,,0,,,,1,1,0,,0,,0,,0,,0,,,Миллион алых роз,,15_Пугачёва_Алла_.jpg
16,Иосиф,,Кобзон,,мужской,,русский,,,певец,+7-968-685-39-59,,,,кобзони@example.com,0,Iosif,,Kobzon,,мужской,русский,певец,+7-965-579-26-66,,,,кобзони@example.com,0,,,0,,,,1,1,0,,0,,0,,0,,0,,,А у нас во дворе,,16_Кобзон_Иосиф_.jpg
17,Сергей,,Лазарев,,мужской,,русский,,,певец,+7-958-834-62-35,,,,лазаревс@example.com,0,Sergey,,Lazarev,,мужской,русский,певец,+7-983-287-28-51,,,,лазаревс@example.com,0,,,0,,,,1,1,0,,0,,0,,0,,0,,,You Are the Only One,,17_Лазарев_Сергей_.jpg
18,Мадонна,,Цикконе,,женский,,английский,,,певица,+7-939-197-15-41,,,,tsикконем@example.com,0,Madonna,,Ciccone,,женский,английский,певица,+7-971-867-75-98,,,,tsикконем@example.com,0,,,0,,,,1,1,0,,0,,0,,0,,0,,,Like a Virgin,,18_Цикконе_Мадонна_.jpg
19,Шакира,,Мебарак,,женский,,испанский,,,певица,+7-916-908-23-82,,,,мебаракш@example.com,0,Shakira,,Mebarak,,женский,испанский,певица,+7-958-535-78-27,,,,мебаракш@example.com,0,,,0,,,,1,1,0,,0,,0,,0,,0,,,Hips Don’t Lie,,19_Мебарак_Шакира_.jpg
20,Бейонсе,,Ноулз,,женский,,английский,,,певица,+7-910-807-39-58,,,,ноулзб@example.com,0,Beyonce,,Knowles,,женский,английский,певица,+7-975-128-97-82,,,,ноулзб@example.com,0,,,0,,,,1,1,0,,0,,0,,0,,0,,,Halo,,20_Ноулз_Бейонсе_.jpg
21,София,,Лорен,,женский,,итальянский,,,актриса,+7-963-835-16-65,,,,лоренс@example.com,0,Sophia,,Loren,,женский,итальянский,актриса,+7-914-697-20-86,,,,лоренс@example.com,0,,,0,,,,1,1,0,,0,,0,,0,,0,,,Брак по-итальянски,,21_Лорен_София_.jpg
22,Шон,,Коннери,,мужской,,английский,,,актёр,+7-993-767-96-46,,,,коннериш@example.com,0,Sean,,Connery,,мужской,английский,актёр,+7-926-647-86-80,,,,коннериш@example.com,0,,,0,,,,1,1,0,,0,,0,,0,,0,,,Агент 007,,22_Коннери_Шон_.jpg
23,Брэд,,Питт,,мужской,,английский,,,актёр,+7-996-716-39-33,,,,питтб@example.com,0,Brad,,Pitt,,мужской,английский,актёр,+7-979-786-87-67,,,,питтб@example.com,0,,,0,,,,1,1,0,,0,,0,,0,,0,,,Бойцовский клуб,,23_Питт_Брэд_.jpg
24,Том,,Круз,,мужской,,английский,,,актёр,+7-999-510-40-79,,,,крузт@example.com,0,Tom,,Cruise,,мужской,английский,актёр,+7-989-282-77-71,,,,крузт@example.com,0,,,0,,,,1,1,0,,0,,0,,0,,0,,,Миссия невыполнима,,24_Круз_Том_.jpg
25,Киану,,Ривз,,мужской,,английский,,,актёр,+7-932-896-46-26,,,,ривзк@example.com,0,Keanu,,Reeves,,мужской,английский,актёр,+7-959-187-52-24,,,,ривзк@example.com,0,,,0,,,,1,1,0,,0,,0,,0,,0,,,Матрица,,25_Ривз_Киану_.jpg
26,Одри,,Хепбёрн,,женский,,английский,,,актриса,+7-920-525-74-31,,,,khепбeрно@example.com,0,Audrey,,Hepburn,,женский,английский,актриса,+7-956-982-26-91,,,,khепбeрно@example.com,0,,,0,,,,1,1,0,,0,,0,,0,,0,,,Завтрак у Тиффани,,26_Хепбёрн_Одри_.jpg
27,Мерил,,Стрип,,женский,,английский,,,актриса,+7-943-386-44-28,,,,стрипм@example.com,0,Meryl,,Streep,,женский,английский,актриса,+7-923-921-21-86,,,,стрипм@example.com,0,,,0,,,,1,1,0,,0,,0,,0,,0,,,Крамер против Крамера,,27_Стрип_Мерил_.jpg
28,Наталья,,Гундарева,,женский,,русский,,,актриса,+7-950-947-26-51,,,,гундареван@example.com,0,Natalya,,Gundareva,,женский,русский,актриса,+7-911-911-82-57,,,,гундареван@example.com,0,,,0,,,,1,1,0,,0,,0,,0,,0,,,Осенний марафон,,28_Гундарева_Наталья_.jpg
29,Олег,,Меньшиков,,мужской,,русский,,,актёр,+7-957-625-62-94,,,,менshиково@example.com,0,Oleg,,Menshikov,,мужской,русский,актёр,+7-968-536-85-92,,,,менshиково@example.com,0,,,0,,,,1,1,0,,0,,0,,0,,0,,,Утомлённые солнцем,,29_Меньшиков_Олег_.jpg
30,Сергей,,Безруков,,мужской,,русский,,,актёр,+7-991-997-82-98,,,,безруковс@example.com,0,Sergey,,Bezrukov,,мужской,русский,актёр,+7-952-555-78-54,,,,безруковс@example.com,0,,,0,,,,1,1,0,,0,,0,,0,,0,,,Бригада,,30_Безруков_Сергей_.jpg
31,Акира,,Куросава,,мужской,,японский,,,режиссёр,+7-957-461-83-71,,,,куросаваа@example.com,0,Akira,,Kurosawa,,мужской,японский,режиссёр,+7-998-124-84-83,,,,куросаваа@example.com,0,,,0,,,,1,1,0,,0,,0,,0,,0,,,Семь самураев,,31_Куросава_Акира_.jpg
32,Стивен,,Спилберг,,мужской,,английский,,,режиссёр,+7-998-867-64-66,,,,спилбергс@example.com,0,Steven,,Spielberg,,мужской,английский,режиссёр,+7-981-664-87-62,,,,спилбергс@example.com,0,,,0,,,,1,1,0,,0,,0,,0,,0,,,Парк Юрского периода,,32_Спилберг_Стивен_.jpg
33,Джеймс,,Кэмерон,,мужской,,английский,,,режиссёр,+7-925-314-44-85,,,,кэмеронд@example.com,0,James,,Cameron,,мужской,английский,режиссёр,+7-925-388-73-49,,,,кэмеронд@example.com,0,,,0,,,,1,1,0,,0,,0,,0,,0,,,Титаник,,33_Кэмерон_Джеймс_.jpg
34,Квентин,,Тарантино,,мужской,,английский,,,режиссёр,+7-951-611-98-90,,,,тарантинок@example.com,0,Quentin,,Tarantino,,мужской,английский,режиссёр,+7-913-989-68-69,,,,тарантинок@example.com,0,,,0,,,,1,1,0,,0,,0,,0,,0,,,Криминальное чтиво,,34_Тарантино_Квентин_.jpg
35,Андрей,,Тарковский,,мужской,,русский,,,режиссёр,+7-976-266-63-41,,,,тарковскиyа@example.com,0,Andrei,,Tarkovsky,,мужской,русский,режиссёр,+7-974-349-94-52,,,,тарковскиyа@example.com,0,,,0,,,,1,1,0,,0,,0,,0,,0,,,Сталкер,,35_Тарковский_Андрей_.jpg
36,Никита,,Михалков,,мужской,,русский,,,режиссёр,+7-926-738-41-50,,,,миkhалковн@example.com,0,Nikita,,Mikhalkov,,мужской,русский,режиссёр,+7-928-955-49-26,,,,миkhалковн@example.com,0,,,0,,,,1,1,0,,0,,0,,0,,0,,,Свой среди чужих,,36_Михалков_Никита_.jpg
37,Фёдор,,Бондарчук,,мужской,,русский,,,режиссёр,+7-934-397-30-27,,,,бондарchукф@example.com,0,Fedor,,Bondarchuk,,мужской,русский,режиссёр,+7-952-940-83-38,,,,бондарchукф@example.com,0,,,0,,,,1,1,0,,0,,0,,0,,0,,,9 рота,,37_Бондарчук_Фёдор_.jpg
38,Мартин,,Скорсезе,,мужской,,английский,,,режиссёр,+7-963-703-59-51,,,,скорсезем@example.com,0,Martin,,Scorsese,,мужской,английский,режиссёр,+7-944-179-56-57,,,,скорсезем@example.com,0,,,0,,,,1,1,0,,0,,0,,0,,0,,,Славные парни,,38_Скорсезе_Мартин_.jpg
39,Френсис,Форд,Коппола,,мужской,,английский,,,режиссёр,+7-958-659-33-67,,,,копполаф@example.com,0,Francis,Ford,Coppola,,мужской,английский,режиссёр,+7-960-853-57-78,,,,копполаф@example.com,0,,,0,,,,1,1,0,,0,,0,,0,,0,,,Крёстный отец,,39_Коппола_Френсис_Форд.jpg
40,Милош,,Форман,,мужской,,чешский,,,режиссёр,+7-970-480-26-17,,,,форманм@example.com,0,Milos,,Forman,,мужской,чешский,режиссёр,+7-935-522-39-40,,,,форманм@example.com,0,,,0,,,,1,1,0,,0,,0,,0,,0,,,Пролетая над гнездом кукушки,,40_Форман_Милош_.jpg
